publication,category,language,website,email,phone,fax,address,city,province_state,zip_postal_code,country,subscribe,facebook,twitter,instagram,youtube
Arcspace,architecture_publications,,www.arcspace.com,,,,,,,,,,,,,
Arkitektur N,architecture_publications,,www.arkitektur-n.no,,,,,,,,Norway,,,,,
Azure,architecture_publications,,www.azuremagazine.com,,,,,,,,,,,,,
Blueprint,architecture_publications,,www.blueprintmagazine.co.uk,,,,,,,,,,,,,
Building,architecture_publications,,www.building.co.uk,,,,,,,,UK,,,,,
California Home & Design Magazine,architecture_publications,,www.chdmag.com,,,,,,,,,,,,,
Canadian Architect,architecture_publications,,www.cdnarchitect.com,,,,,,,,,,,,,
Casabella,architecture_publications,,www.mondadori.it,,,,,,,,Italy,,,,,
Contract Magazine,architecture_publications,,www.contractmagazine.com,,,,,,,,,,,,,
Design Build Network,architecture_publications,,www.designbuild-network.com,,,,,,,,,,,,,
Design Intelligence,architecture_publications,,www.di.net,,,,,,,,,,,,,
Design-Build,architecture_publications,,www.designbuild.construction.com,,,,,,,,,,,,,
DETAIL,architecture_publications,,www.detail.de,,,,,,,,Germany,,,,,
Deutsche Bauzeitung,architecture_publications,,www.db.bauzeitung.de,,,,,,,,Germany,,,,,
Domus,architecture_publications,,www.domusweb.it,,,,,,,,Italy,,,,,
Dwell,architecture_publications,,www.dwell.com,,,,,,,,,,,,,
El Croquis,architecture_publications,,www.elcroquis.es,,,,,,,,Spain,,,,,
Elemente Magazine,architecture_publications,,www.elementemag.com,,,,,,,,,,,,,
Environmental Design & Construction,architecture_publications,,www.edcmag.com,,,,,,,,,,,,,
Evolo,architecture_publications,,www.evolo.us,,,,,,,,US,,,,,
FORM,architecture_publications,,www.formmag.net,,,,,,,,,,,,,
Frame Magazine,architecture_publications,,www.framemag.com,,,,,,,,,,,,,
FX Magazine,architecture_publications,,www.fxmagazine.co.uk,,,,,,,,,,,,,
Grey Room,architecture_publications,,www.mitpress.mit.edu/catalog/item/default.asp?sid=2389378D-2F2D-489A-95BF-489AE7946467&ttype=4&tid=2,,,,,,,,,,,,,
Harvard Design Magazine,architecture_publications,,www.gsd.harvard.edu.research/publications/hdm,,,,,,,,,,,,,
Hinge Magazine,architecture_publications,,www.hingenet.com,,,,,,,,,,,,,
Hospitality Design,architecture_publications,,www.hdmag.com,,,,,,,,,,,,,
House Beautiful Magazine,architecture_publications,,www.housebeautiful.com,,,,,,,,,,,,,
House Magazine,architecture_publications,,www.housemag.com,,,,,,,,,,,,,
I.D.,architecture_publications,,www.I-dmagazine.com,,,,,,,,,,,,,
icon,architecture_publications,,www.icon-magazine.co.uk,,,,,,,,,,,,,
Inland Architect,architecture_publications,,www.inlandarchitectmag.com,,,,,,,,,,,,,
Interiors and Sources,architecture_publications,,www.isdesignet.com,,,,,,,,,,,,,
Journal of Architectural and Planning Research,architecture_publications,,www.lockescience.com,,,,,,,,,,,,,
Junk Jet,architecture_publications,,www.junkjet.net,,,,,,,,,,,,,
KIOSK,architecture_publications,,www.kioskmagazine.co.uk,,,,,,,,,,,,,
Las Vegas Home & Design,architecture_publications,,www.lasvegashomeanddesign.com,,,,,,,,,,,,,
Log,architecture_publications,,www.anycorp.com/log,,,,,,,,,,,,,
Materia,architecture_publications,,www.materia.it,,,,,,,,,,,,,
Metropolis Magazine,architecture_publications,,www.metropolismag.com,,,,,,,,,,,,,
Metropolitain Home,architecture_publications,,www.pointclickhome.com,,,,,,,,,,,,,
Miami Design & Architectural Review,architecture_publications,,www.gulfstreammediagroup.com,,,,,,,,,,,,,
MONU,architecture_publications,,www.monu-magazine.com,,,,,,,,,,,,,
New Old House,architecture_publications,,www.newoldhousemag.com,,,,,,,,,,,,,
Oris,architecture_publications,,www.oris.hr,,,,,,,,Hungary,,,,,
Palm Beach Deisgn & Architectural Review,architecture_publications,,www.gulfstreammediagroup.com,,,,,,,,,,,,,
Perspecta,architecture_publications,,www.architecture.yale.edu,,,,,,,,US,,,,,
Perspective Magazine,architecture_publications,,www.artdirectors.org/?art=perspective_magazine,,,,,,,,,,,,,
Plan,architecture_publications,,www.planmagazine.ie,,,,,,,,Ireland,,,,,
Polar Inertia,architecture_publications,,www.polarinertia.com,,,,,,,,,,,,,
Princeton Architectural Press,architecture_publications,,www.papress.com,,,,,,,,,,,,,
Professional Lighting Design,architecture_publications,,www.professional-lighting.com,,,,,,,,,,,,,
Prospect,architecture_publications,,www.prospectmagazine.co.uk,,,,,,,,UK,,,,,
Residential Architect,architecture_publications,,www.residentialarchitect.com,,,,,,,,,,,,,
Residential Design and Build,architecture_publications,,www.rdbmagazine.com,,,,,,,,,,,,,
Scape Magazine,architecture_publications,,www.franksworld.com/scrape,,,,,,,,,,,,,
Scroope: Cambridge Architecture Journal,architecture_publications,,www.scroopejournal.tripod.com,,,,,,,,,,,,,
Specifier,architecture_publications,,www.specifier.com.au,,,,,,,,Australia,,,,,
Surface Magazine,architecture_publications,,www.surfacemag.com,,,,,,,,,,,,,
The Craftsman,architecture_publications,,www.craftanddesign.net,,,,,,,,,,,,,
Tim Abrahams,architecture_publications,,www.timabrahams.net,,,,,,,,UK,,,,,
Traditional Building,architecture_publications,,www.traditional-building.com,,,,,,,,,,,,,
Unique Homes Magazine,architecture_publications,,www.uniquehomes.com,,,,,,,,,,,,,
Volume 5,architecture_publications,,www.volume5.com,,,,,,,,,,,,,
Volume Magazine,architecture_publications,,www.archis.org/volume,,,,,,,,,,,,,
Western Interiors and Design,architecture_publications,,www.westerninteriors.com,,,,,,,,,,,,,
White Pine Series of Architectural Monographs,architecture_publications,,www.cslib.org/whitepine.htm,,,,,,,,,,,,,
3D Artist Magazine,art_publications,,www.3dartist.com,,,,,,,,,,,,,
Afternoon,art_publications,,http://motley-focus.com/~timber/afternoon.html,,,,,,,,,,,,,
Airbrush.com,art_publications,,www.airbrush.com,,,,,,,,,,,,,
American Art,art_publications,,http://nmaa-ryder.si.edu/journal,,,,,,,,,,,,,
American Style,art_publications,,www.americanstyle.com,,,,,,,,,,,,,
Antiques and The Arts,art_publications,,www.antiquesandthearts.com,,,,,,,,,,,,,
Archipelago,art_publications,,www.archipelago.org,,,,,,,,,,,,,
Art Deadlines List,art_publications,,http://rtuh.com/adl,,,,,,,,,,,,,
Art Focus,art_publications,,www.artfocus.com,,,,,,,,,,,,,
Art for Sale,art_publications,,http://cwis.usc.edu/dept/annenberg.papers/webart.html,,,,,,,,,,,,,
Art Nexus,art_publications,,www.artnexus.com,,,,,,,,,,,,,
Art of the West,art_publications,,www.aotw.com,,,,,,,,,,,,,
Art Pages Online,art_publications,,www.artpagesonline.com,,,,,,,,,,,,,
ArtCalendar,art_publications,,www.artcalendar.com,,,,,,,,,,,,,
ArtDaily,art_publications,,www.artdaily.com,,,,,,,,,,,,,
Arts Journal,art_publications,,www.artsjournal.com,,,,,,,,,,,,,
ArtsFusion,art_publications,,www.artsfusion.com,,,,,,,,,,,,,
ArtSource Quarterly,art_publications,,www.artmarketing.com/qrtly/qrtly.html,,,,,,,,,,,,,
ARTtalk,art_publications,,www.arttalk.com,,,,,,,,,,,,,
ArtViews,art_publications,,www.artviews.com,,,,,,,,,,,,,
BayInsider,art_publications,,www.bayinsider.com/entertainment,,,,,,,,,,,,,
Blind Spot,art_publications,,www.blindspot.com,,,,,,,,,,,,,
Bomb,art_publications,,www.bombsite.com,,,,,,,,,,,,,
Ceramics Monthly,art_publications,,www.ceramicsmonthly.org,,,,,,,,,,,,,
China & Glass Quarterly,art_publications,,www.oaklandpublications.com,,,,,,,,,,,,,
Communication Arts,art_publications,,www.commarts.com,,,,,,,,,,,,,
Computer Arts,art_publications,,www.futuernet.com/arts,,,,,,,,,,,,,
Computer Graphics World,art_publications,,www.cgw.com,,,,,,,,,,,,,
CraftsReport.com,art_publications,,www.craftsreport.com,,,,,,,,,,,,,
CTheory Magazine,art_publications,,www.ctheory.com,,,,,,,,,,,,,
Fine Art Magazine,art_publications,,www.fineartmagazine.com,,,,,,,,,,,,,
Glass Patterns Quarterly,art_publications,,www.artglassworld.com/mag/gpq,,,,,,,,,,,,,
Glyphs,art_publications,,http://glyphs.com,,,,,,,,,,,,,
GoFar Press,art_publications,,http://home.earthlink.net/~gofarpress,,,,,,,,,,,,,
Graphic Arts Monthly,art_publications,,www.gammag.com,,,,,,,,,,,,,
HOW,art_publications,,www.howdesign.com,,,,,,,,,,,,,
In Motion Magazine,art_publications,,www.inmotionmagazine.com/art.html,,,,,,,,,,,,,
Innerart,art_publications,,http://innerart.com,,,,,,,,,,,,,
Inquisitor Magazine,art_publications,,http://mosaic.echonyc.com~xixax/mediarama,,,,,,,,,,,,,
Internet ArtResources,art_publications,,www.artresources.com,,,,,,,,,,,,,
Juxtapoz,art_publications,,www.juxtapoz.com,,,,,,,,,,,,,
Left Coast Art,art_publications,,www.leftcoastart.com,,,,,,,,,,,,,
Lunar Graphics,art_publications,,www.lunareclipse.net,,,,,,,,,,,,,
Monterey Bay Webzine-Arts,art_publications,,www.webdzine.com/arts/index.html,,,,,,,,,,,,,
Mosaic Matters,art_publications,,www.users.dircon.co.uk/~asm,,,,,,,,,,,,,
New York Arts Magazine,art_publications,,www.nyartsmagazine.com,,,,,,,,,,,,,
Parallel,art_publications,,www.va.com.au/parallel,,,,,,,,,,,,,
PHOTO,art_publications,,www.photo.fr,,,,,,,,,,,,,
Photon,art_publications,,www.photonpub.co.uk,,,,,,,,,,,,,
Pictures Quarterly,art_publications,,www.worldweb.net/~talmage/picturesquarterly,,,,,,,,,,,,,
Pottery Making Illustrated,art_publications,,www.potterymaking.org,,,,,,,,,,,,,
Print,art_publications,,www.printmag.com,,,,,,,,,,,,,
Public Art on the Net,art_publications,,www.zpub.com/public,,,,,,,,,,,,,
Raw Vision Magazine,art_publications,,www.rawvision.com,,,,,,,,,,,,,
Smithsonian,art_publications,,www.smithsonianmag.com,,,,,,,,,,,,,
Stained Glass,art_publications,,www.stainedglass.org,,,,,,,,,,,,,
Sunshine Artist Magazine,art_publications,,www.sunshineartist.com,,,,,,,,,,,,,
The Art Newspaper,art_publications,,www.theartnewspaper.com,,,,,,,,,,,,,
The Aurora Review,art_publications,,www.theaurorareview.com,,,,,,,,,,,,,
The Berkeley Text,art_publications,,www.berkeleytext.com,,,,,,,,,,,,,
Visual Voices,art_publications,,www.artspeak.com/w/west.html,,,,,,,,,,,,,
Wet Canvas!,art_publications,,www.wetcanvas.com,,,,,,,,,,,,,
Wildlife Art,art_publications,,www.wildlifeartmag.com,,,,,,,,,,,,,
Apollon,astrology_publications,,www.astrologer.com/apollon,,,,,,,,,,,,,
AquarianAge,astrology_publications,,www.aquarianage.org,,,,,,,,,,,,,
Astrologe.net,astrology_publications,,www.astrologe.net,,,,,,,,,,,,,
Astrologer.com,astrology_publications,,www.astologer.com,,,,,,,,,,,,,
Astrological Gold,astrology_publications,,www.astrologyhelp.blogspot.com,,,,,,,,,,,,,
Astrology Insights,astrology_publications,,www.astrologyinsights.com,,,,,,,,,,,,,
AstroRevolution,astrology_publications,,www.astrorevolution.com,,,,,,,,,,,,,
Big Sky Astrology,astrology_publications,,www.bigskyastrology.com,,,,,,,,,,,,,
Bob Makransky's Magical Almanac,astrology_publications,,www.dearbrutus.com,,,,,,,,,,,,,
Café Astrology,astrology_publications,,www.cafeastrology.com,,,,,,,,,,,,,
Considerations,astrology_publications,,www.considerations-mag.com,,,,,,,,,,,,,
Dell Horoscope,astrology_publications,,www.dellhoroscope.com,,,,,,,,,,,,,
EricFrancis.com,astrology_publications,,http://ericfrancis.com,,,,,,,,,,,,,
Express Starteller,astrology_publications,,www.starteller.com,,,,,,,,,,,,,
Falcon Astrology,astrology_publications,,www.falconastrology.com,,,,,,,,,,,,,
K.N. Rao's Journal of Astrology,astrology_publications,,www.journalofastrology.com,,,,,,,,,,,,,
Magical Almanac,astrology_publications,,http://groups.yahoo.com/group/MagicalAlmanac,,,,,,,,,,,,,
Major Sky Astrology Ezine,astrology_publications,,www.mauricefernandez.com/majorskyaugy08.pdf,,,,,,,,,,,,,
Mars Hill Astrology,astrology_publications,,www.geocities.com/dreamastrologer/index.html,,,,,,,,,,,,,
Matchmaking Heaven,astrology_publications,,www.matchmakingheaven.com,,,,,,,,,,,,,
Planet Waves,astrology_publications,,http://planetwaves.net,,,,,,,,,,,,,
Planet Waves Weekly,astrology_publications,,http://planetwavesweekly.com,,,,,,,,,,,,,
Real Life Asteroid Astrology,astrology_publications,,http://asteroidastrology.blogspot.com,,,,,,,,,,,,,
Skyscript,astrology_publications,,www.skyscript.co.uk,,,,,,,,,,,,,
The Astrologer's Apprentice,astrology_publications,,www.johnfrawley.com,,,,,,,,,,,,,
The Astrologers Corner,astrology_publications,,www.astrologerscorner.blogspot.com,,,,,,,,,,,,,
The Astrology of the Centaurs,astrology_publications,,www.expreso.co.cr/centaurs,,,,,,,,,,,,,
The Friends of Astrology,astrology_publications,,www.friendsofastrology.com,,,,,,,,,,,,,
The Horary Practitioner,astrology_publications,,www.horary.com,,,,,,,,,,,,,
The Mountain Astrologer,astrology_publications,,www.mountainastrologer.com,,,,,,,,,,,,,
Amateur Astronomy,astronomy_publications,,http://amateurastronomy.com,,,,,,,,,,,,,
AmSky,astronomy_publications,,www.amsky.com,,,,,,,,,,,,,
The Astronomer Magazine,astronomy_publications,,www.theastronomer.org,,,,,,,,,,,,,
Astronomy & Space Magazine,astronomy_publications,,www.astronomy.ie/magazine.html,,,,,,,,,,,,,
Astronomy Magazine,astronomy_publications,,www.astronomy.com,,,,,,,,,,,,,
Astronomy Now,astronomy_publications,,www.astronomynow.com,,,,,,,,,,,,,
Meteorite-Times Magazine,astronomy_publications,,www.meteorite-times.com,,,,,,,,,,,,,
Night-Sky Magazine,astronomy_publications,,http://nightskymag.com,,,,,,,,,,,,,
Sky & Telescope,astronomy_publications,,http://skytonight.com,,,,,,,,,,,,,
SkyNews,astronomy_publications,,www.skynewsmagazine.com,,,,,,,,,,,,,
UniGalactic,astronomy_publications,,www.unigalactic.com,,,,,,,,,,,,,
The Woman Astronomer,astronomy_publications,,www.womanastronomer.com,,,,,,,,,,,,,
4WheelATV.com,atv_publications,,www.4wheelatv.com,,,,,,,,,,,,,
All-Terrain Vehicle Magazine,atv_publications,,www.atvmag.com,,,,,,,,,,,,,
ATV Action,atv_publications,,www.atvaction.net,,,,,,,,,,,,,
ATV Connection,atv_publications,,www.atvconnection.com,,,,,,,,,,,,,
ATV Illustrated,atv_publications,,www.atvillustrated.com,,,,,,,,,,,,,
ATV Magazine,atv_publications,,www.atvmagonline.com,,,,,,,,,,,,,
ATV News,atv_publications,,www.atvnews.com,,,,,,,,,,,,,
ATV Rider,atv_publications,,www.atvrideronline.com,,,,,,,,,,,,,
ATV Scene,atv_publications,,http://atvscene.com,,,,,,,,,,,,,
ATV Source,atv_publications,,www.atvsource.com,,,,,,,,,,,,,
ATV Trail Rider,atv_publications,,www.passionperformance.ca/ATV,,,,,,,,,,,,,
ATV World,atv_publications,,www.atvworldmag.com,,,,,,,,,,,,,
ATV-Industry Magazine,atv_publications,,http://atv-industry.com,,,,,,,,,,,,,
Dirt Wheels Magazine,atv_publications,,www.dirtwheelsmag.com,,,,,,,,,,,,,
Jacobs ATV Magazine,atv_publications,,www.jacobsatvmagazine.com,,,,,,,,,,,,,
Automobile,automotive_accessories_publications,,www.automobilemag.com,,,,,,,,,,,,,
Car Audio & Electronics,automotive_accessories_publications,,www.caraudiomag.com,,,,,,,,,,,,,
Car Sound & Performance,automotive_accessories_publications,,www.carsound.com,,,,,,,,,,,,,
Electrical Light and Power,automotive_accessories_publications,,http://uaelp.pennnet.com,,,,,,,,,,,,,
Electrifying Times,automotive_accessories_publications,,www.electrifyingtimes.com,,,,,,,,,,,,,
ESE,automotive_accessories_publications,,www.esemagazine.com,,,,,,,,,,,,,
Four Wheeler,automotive_accessories_publications,,www.fourwheeler.com,,,,,,,,,,,,,
LEDs,automotive_accessories_publications,,http://ledsmagazine.com,,,,,,,,,,,,,
Performance Auto & Sound,automotive_accessories_publications,,www.pasmag.com,,,,,,,,,,,,,
Rod & Custom,automotive_accessories_publications,,www.rodandcustommagazine.com,,,,,,,,,,,,,
Sound and Vision,automotive_accessories_publications,,www.soundandvisionmag.com,,,,,,,,,,,,,
Truckin' Magazine,automotive_accessories_publications,,www.truckinweb.com,,,,,,,,,,,,,
VW Trends,automotive_accessories_publications,,www.vwtrendsweb.com,,,,,,,,,,,,,
Aerokurier,aviation_publications,,www.aerokurier.rotor.com,,,,,,,,,,,,,
Air and Space Magazine,aviation_publications,,www.airspacemag.com,,,,,,,,,,,,,
AIRodyssey,aviation_publications,,www.airodyssey.net,,,,,,,,,,,,,
Air-Scene UK,aviation_publications,,http://homepages.force9.net/ffour,,,,,,,,,,,,,
Aviation Monthly,aviation_publications,,www.aviationmonthly.com,,,,,,,,,,,,,
Aviation Week & Space Technology,aviation_publications,,www.aviationweek.com,,,,,,,,,,,,,
Aviator's Guid Magazine,aviation_publications,,www.aviatorsguide.com,,,,,,,,,,,,,
Business & Commercial Aviation,aviation_publications,,www.aviationweek.com,,,,,,,,,,,,,
Contact Magazine,aviation_publications,,www.contactmagazine.com,,,,,,,,,,,,,
Flight Training,aviation_publications,,www.flighttraining.aopa.org,,,,,,,,,,,,,
General Aviation News,aviation_publications,,www.generalaviationnews.com,,,,,,,,,,,,,
LAAS International,aviation_publications,,www.laasdata.com,,,,,,,,,,,,,
Paraglider Magazine,aviation_publications,,www.paraglidermagazine.com,,,,,,,,,,,,,
Pilot Jouranl,aviation_publications,,www.pilotjournal.com,,,,,,,,,,,,,
Skyliner Aviation News,aviation_publications,,www.skyliner-aviation.de,,,,,,,,,,,,,
The Aitr Affair,aviation_publications,,www.airaffair.com,,,,,,,,,,,,,
Usaviation.com,aviation_publications,,www.usaviation.com,,,,,,,,,,,,,
August Publications,baseball_publications,,http://augustpublications.com,,,,,,,,,,,,,
Baseball America,baseball_publications,,www.baseabllamerica.com,,,,,,,,,,,,,
Baseball Page,baseball_publications,,www.thebaseballpage.com,,,,,,,,,,,,,
Baseball The Magazine,baseball_publications,,www.baseballthemag.com,,,,,,,,,,,,,
Baseball Think Factory,baseball_publications,,www.baseballthinkfactory.org,,,,,,,,,,,,,
Baseball Weekly,baseball_publications,,www.usatoday.com/sports/baseball,,,,,,,,,,,,,
Baseball Youth Magazine,baseball_publications,,www.baseballyouth.com,,,,,,,,,,,,,
Beckett.com,baseball_publications,,www.beckett.com,,,,,,,,,,,,,
Bleacher Banter,baseball_publications,,www.bleacherbanter.com,,,,,,,,,,,,,
CBS SportsLine - Baseball,baseball_publications,,www.sportsline.com/mlb,,,,,,,,,,,,,
Chinmusic Magazine,baseball_publications,,www.chinmusic.net,,,,,,,,,,,,,
Collegiate Baseball Newspaper,baseball_publications,,www.baseballnews.com,,,,,,,,,,,,,
Diamond Angle,baseball_publications,,www.thediamondangle.com,,,,,,,,,,,,,
Elysian Fields Quarterly,baseball_publications,,www.efqreview.com,,,,,,,,,,,,,
Junior Baseball,baseball_publications,,www.juniorbaseball.com,,,,,,,,,,,,,
LatinoBaseball,baseball_publications,,www.latinobaseball.com,,,,,,,,,,,,,
Minor League Dugout,baseball_publications,,http://minorleaguedugout.com,,,,,,,,,,,,,
SI.com - MLB,baseball_publications,,http://sportsillustrated.cnn.com/baseball,,,,,,,,,,,,,
Sporting News: Baseball,baseball_publications,,www.sportingnews.com/baseball,,,,,,,,,,,,,
Bama Mag,basketball_publications,,www.alabama.scout.com,,,,,,,,,,,,,
Basketball Sense,basketball_publications,,www.basketballsense.com,,,,,,,,,,,,,
Basketball.com,basketball_publications,,www.basketball.com,,,,,,,,,,,,,
Bear Insider,basketball_publications,,www.bearinsider.com,,,,,,,,,,,,,
Big Red Report,basketball_publications,,www.nebraska.scout.com,,,,,,,,,,,,,
Britball,basketball_publications,,www.britball.com,,,,,,,,,,,,,
Buffalo Sports News,basketball_publications,,www.colorado.scout.com,,,,,,,,,,,,,
Canes Time,basketball_publications,,www.miami.scout.com,,,,,,,,,,,,,
Carolina Blue,basketball_publications,,www.northcarolina.rivals.com,,,,,,,,,,,,,
Cats' Pause,basketball_publications,,www.kentucky.rivals.com,,,,,,,,,,,,,
Cavs News,basketball_publications,,www.cavsnews.com,,,,,,,,,,,,,
Coaching Well Basketball Journal,basketball_publications,,www.havenport.com/hosa/cjournal.html,,,,,,,,,,,,,
CU Tigers,basketball_publications,,www.clemson.scout.com,,,,,,,,,,,,,
Cyclone Nation,basketball_publications,,www.iowastate.scout.com,,,,,,,,,,,,,
Dawg Post,basketball_publications,,www.georgia.scout.com,,,,,,,,,,,,,
Dawgs Bite,basketball_publications,,www.mississippistate.scout.com,,,,,,,,,,,,,
Dime Magazine,basketball_publications,,www.dimamag.com,,,,,,,,,,,,,
E-Duck,basketball_publications,,www.oregon.scout.com,,,,,,,,,,,,,
Eurobasket,basketball_publications,,www.eurobasket.com,,,,,,,,,,,,,
Euroleague,basketball_publications,,www.euroleague.net,,,,,,,,,,,,,
Fight on State,basketball_publications,,www.pennstate.scout.com,,,,,,,,,,,,,
Fightin' Gators,basketball_publications,,www.florida.scout.com,,,,,,,,,,,,,
Full Court,basketball_publications,,www.fullcourt.com,,,,,,,,,,,,,
Gator Bait,basketball_publications,,www.florida.rivals.com,,,,,,,,,,,,,
Gball,basketball_publications,,www.gballmag.com,,,,,,,,,,,,,
Go Blue Wolverine,basketball_publications,,www.michigan.scout.com,,,,,,,,,,,,,
Go Pokes,basketball_publications,,www.oklahomastate.scout.com,,,,,,,,,,,,,
Gridiron Gateway,basketball_publications,,www.stl.scout.com,,,,,,,,,,,,,
Hawkeye Nation,basketball_publications,,www.iowa.scout.com,,,,,,,,,,,,,
Hooplife Canada,basketball_publications,,www.hooplife.ca,,,,,,,,,,,,,
HoopsHype,basketball_publications,,www.hoopshype.com,,,,,,,,,,,,,
HoopsVibe,basketball_publications,,www.hoopsvibe.com,,,,,,,,,,,,,
Huskers Illustrates,basketball_publications,,www.nebraska.rivals.com,,,,,,,,,,,,,
Inside Carolina,basketball_publications,,www.northcarolina.scout.com,,,,,,,,,,,,,
Inside Hoops,basketball_publications,,www.insidehoops.com,,,,,,,,,,,,,
Inside Indiana,basketball_publications,,www.indiana.rivals.com,,,,,,,,,,,,,
Inside Mizzou,basketball_publications,,www.missouri.scout.com,,,,,,,,,,,,,
Inside Texas,basketball_publications,,www.texas.scout.com,,,,,,,,,,,,,
Inside the Ville,basketball_publications,,www.louisville.scout.com,,,,,,,,,,,,,
Irish Eyes,basketball_publications,,www.notredame.scout.com,,,,,,,,,,,,,
Jayhawk Illustrated,basketball_publications,,www.kansas.scout.com,,,,,,,,,,,,,
Kentucky Sports Report,basketball_publications,,www.louisville.rivals.com,,,,,,,,,,,,,
Mile High Sports,basketball_publications,,www.milehighsports.com,,,,,,,,,,,,,
Ole Miss Spirit,basketball_publications,,www.mississippi.scout.com,,,,,,,,,,,,,
Osceola,basketball_publications,,www.floridastate.rivals.com,,,,,,,,,,,,,
Pack Pride,basketball_publications,,www.northcarolinastate.scout.com,,,,,,,,,,,,,
Pawprint,basketball_publications,,http://pawprint75.co.uk/index.htm,,,,,,,,,,,,,
Red Raider Sports,basketball_publications,,www.texastech.rivals.com,,,,,,,,,,,,,
SC Playbook,basketball_publications,,www.usc.scout.com,,,,,,,,,,,,,
Slam Online,basketball_publications,,www.slamonline.com,,,,,,,,,,,,,
Slam: Basketball News,basketball_publications,,http://slam.canoe.ca/Slam/Basketball/home.html,,,,,,,,,,,,,
Sooners Illustrated,basketball_publications,,www.oklahoma.scout.com,,,,,,,,,,,,,
Sports Illustrated,basketball_publications,,http://sportsillustrated.cnn.com/basketball,,,,,,,,,,,,,
The Bootleg,basketball_publications,,www.stanford.scout.com,,,,,,,,,,,,,
The Juice,basketball_publications,,www.syracuse.scout.com,,,,,,,,,,,,,
Thefinalscore.TV,basketball_publications,,www.thefinalscore.tv,,,,,,,,,,,,,
Total Blue Sports,basketball_publications,,www.byu.scout.com,,,,,,,,,,,,,
Voice of the Hawkeyes,basketball_publications,,www.iowa.rivals.com,,,,,,,,,,,,,
Warpaint Illustrated,basketball_publications,,www.kan.scout.com,,,,,,,,,,,,,
Women's Basketball Magazine,basketball_publications,,www.wbmagazine.com,,,,,,,,,,,,,
Bert Sugar's Fight Game,boxing_publications,,www.fightgame.com,,,,,,,,,,,,,
Boxing Chronicle,boxing_publications,,www.boxingchronicle.com,,,,,,,,,,,,,
Boxing Collectors News,boxing_publications,,www.boxingcollectors.com,,,,,,,,,,,,,
Boxing Monthly,boxing_publications,,www.boxing-monthly.co.uk,,,,,,,,,,,,,
Boxing Online,boxing_publications,,www.boxingonline.com,,,,,,,,,,,,,
Boxing Press,boxing_publications,,www.boxingpress.com,,,,,,,,,,,,,
Boxing Scene,boxing_publications,,www.boxingscene.com,,,,,,,,,,,,,
Boxing Talk,boxing_publications,,www.boxingtalk.net,,,,,,,,,,,,,
Boxing World Magazine,boxing_publications,,www.boxingworld.co.za,,,,,,,,,,,,,
Boxing Writer,boxing_publications,,www.boxingwriter.wordpress.com,,,,,,,,,,,,,
BoxingInsider.com,boxing_publications,,www.boxinginsider.com,,,,,,,,,,,,,
Bragging Rights Corner,boxing_publications,,www.braggingrightscorner.com,,,,,,,,,,,,,
Cyber Boxing Zone,boxing_publications,,www.cyberboxingzone.com,,,,,,,,,,,,,
Doghouse Boxing,boxing_publications,,www.doghouseboxing.com,,,,,,,,,,,,,
East Side Boxing,boxing_publications,,www.eastsideboxing.com,,,,,,,,,,,,,
Fight Link,boxing_publications,,www.fightlink.com,,,,,,,,,,,,,
Fighters.com,boxing_publications,,www.fighters.com,,,,,,,,,,,,,
FightHype,boxing_publications,,www.fighthype.com,,,,,,,,,,,,,
FightNews.com,boxing_publications,,www.fightnews.com,,,,,,,,,,,,,
HBO Boxing Columnist,boxing_publications,,www.hbo.com/boxing/columns,,,,,,,,,,,,,
Heavyweights,boxing_publications,,www.heavyweights.co.uk,,,,,,,,,,,,,
International Boxing Digest,boxing_publications,,www.boxingdigest.com,,,,,,,,,,,,,
Irish Boxing News,boxing_publications,,www.irishboxingnews.com,,,,,,,,,,,,,
KO Corner,boxing_publications,,www.kocorner.com,,,,,,,,,,,,,
MaxBoxing.com,boxing_publications,,www.maxboxing.com,,,,,,,,,,,,,
Ring,boxing_publications,,www.thering-online.com,,,,,,,,,,,,,
RingSports.com,boxing_publications,,www.ringsports.com,,,,,,,,,,,,,
Seconds Out,boxing_publications,,www.secondsout.com,,,,,,,,,,,,,
SLAM! Boxing,boxing_publications,,www.canoe.ca/boxing,,,,,,,,,,,,,
Sport Network Boxing,boxing_publications,,www.sportsnetwork.com,,,,,,,,,,,,,
Standing Eight Online,boxing_publications,,www.standing8.com,,,,,,,,,,,,,
The Boxing Times,boxing_publications,,www.boxingtimes.com,,,,,,,,,,,,,
The Sweet Science,boxing_publications,,www.thesweetscience.com,,,,,,,,,,,,,
USA Boxing News,boxing_publications,,www.usaboxingnews.com,,,,,,,,,,,,,
Anorak,canoeing_&_kayaking_publications,,www.members.aol.com/gokayak/anorak,,,,,,,,,,,,,
Atlantic Coastal Kayaker,canoeing_&_kayaking_publications,,www.qed.com/ack,,,,,,,,,,,,,
Boundary Waters Journal,canoeing_&_kayaking_publications,,www.boundarywatersjournal.com,,,,,,,,,,,,,
Canoe & Kayak Magazine,canoeing_&_kayaking_publications,,www.canoekayak.com,,,,,,,,,,,,,
Family Camping & Canoeroots Magazine,canoeing_&_kayaking_publications,,www.rapidmedia.com,,,,,,,,,,,,,
Fluid,canoeing_&_kayaking_publications,,www.dagger.com/fluidmag/fluid.htm,,,,,,,,,,,,,
Hurley's Journal,canoeing_&_kayaking_publications,,www.hurleysjournal.com,,,,,,,,,,,,,
